size,threads,percent_fill,time
9,1,21,0.169187
9,1,21,0.167837
9,1,21,0.170408
9,1,21,0.187764
9,1,21,0.189019
9,1,21,0.264577
9,1,21,0.262765
9,1,21,0.191984
9,1,21,0.191504
9,1,21,0.192309
9,1,21,0.16968
9,1,21,0.169013
9,1,21,0.14156
9,1,21,0.139483
9,1,21,0.138961
9,1,21,0.144728
9,1,21,0.145468
9,1,21,13.2758
9,1,21,0.357603
9,1,21,23.2968
9,1,21,0.117934
9,1,21,0.118648
9,1,21,108.952
9,1,21,0.316186
9,1,21,0.509768
9,1,21,0.492678
9,1,21,0.0942711
9,1,21,0.0903609
9,1,21,0.101877
9,1,21,0.100419
9,1,21,0.10078
9,1,21,0.133664
9,1,21,0.136915
9,1,21,0.134304
9,1,21,0.104993
9,1,21,0.108929
9,1,21,0.108067
9,1,21,0.108372
9,1,21,0.12075
9,1,21,0.116817
9,1,21,0.117777
9,1,21,0.148801
9,1,21,0.153132
9,1,21,0.0791305
9,1,21,0.0835829
9,1,21,0.0786319
9,1,21,0.078667
9,1,21,0.150435
9,1,21,0.134833
9,1,21,0.136243
9,1,21,0.105643
9,1,21,0.106004
9,1,21,0.10556
9,1,21,0.20684
9,1,21,0.207747
9,1,21,0.209254
9,1,21,0.359229
9,1,21,0.356769
9,1,21,0.136326
9,1,21,0.161244
9,1,21,0.14849
9,1,21,0.15149
9,1,21,0.178099
9,1,21,1.77135
9,1,21,0.0934225
9,1,21,0.0939488
9,1,21,0.0907543
9,1,21,0.0897716
9,1,21,0.290698
9,1,21,0.238045
9,1,21,0.65985
9,1,21,0.661139
9,1,21,22.2272
9,1,21,0.124929
9,1,21,0.139181
9,1,21,0.148625
9,1,21,0.136105
9,1,21,0.153458
9,1,21,0.196442
9,1,21,0.204793
9,1,21,0.202722
9,1,21,27.5895
9,1,21,0.46792
9,1,21,0.562047
9,1,21,11.7744
9,1,21,0.875097
9,1,21,52.0814
9,1,21,0.18207
9,1,21,0.216667
9,1,21,0.220556
9,1,21,0.899596
9,1,21,2.20856
9,1,21,0.34311
9,1,21,0.32888
9,1,21,0.331949
9,1,21,0.125361
9,1,21,0.122228
9,1,21,866.427
9,1,21,0.129027
9,1,21,0.127845
